Designator,Mid X,Mid Y,Rotation,Layer
C1,129.375,-70.9625,270.0,top
C10,125.375,-72.45,270.0,top
C11,154.725,-74.4,0.0,bottom
C2,129.6,-65.575,90.0,top
C3,154.7125,-72.35,0.0,bottom
C4,161.5125,-81.375,180.0,bottom
C5,161.5,-78.35,180.0,bottom
C6,154.5,-68.3125,270.0,bottom
C8,136.825,-68.525,180.0,bottom
C9,125.275,-66.725,270.0,top
D1,141.225,-90.7,90.0,top
D2,136.1,-84.375,0.0,bottom
D3,165.85,-80.55,270.0,bottom
D4,119.95,-70.05,270.0,bottom
J1,169.4,-68.35,90.0,top
J10,161.64,-92.705,90.0,top
J11,121.0,-95.245,90.0,top
J12,133.7,-95.245,90.0,top
J13,148.94,-95.245,90.0,top
J14,161.64,-95.245,90.0,top
J15,112.07,-83.755,180.0,top
J16,170.3,-83.755,180.0,top
J2,115.625,-69.61,270.0,top
J3,121.0,-90.165,90.0,top
J4,133.7,-90.165,90.0,top
J5,148.94,-90.165,90.0,top
J6,161.64,-90.165,90.0,top
J7,121.0,-92.705,90.0,top
J8,133.7,-92.705,90.0,top
J9,148.94,-92.705,90.0,top
Q1,158.85,-74.6125,270.0,top
Q2,158.85,-78.5125,90.0,top
R1,153.4,-67.225,180.0,top
R2,153.4,-69.3,180.0,top
R3,141.725,-85.1,90.0,bottom
R4,144.1,-85.1,270.0,bottom
R7,139.1,-65.025,180.0,bottom
RESET1,118.4,-80.975,90.0,top
U1,141.17,-72.73,0.0,top
U2,160.81,-68.35,0.0,top
U3,126.75,-82.2875,180.0,bottom
Y1,163.725,-79.8,90.0,top
